Abalistes filamentosus	605, 606
Abalistes stellatus	606
Ablabys macracanthus	363
Ablabys taenianotus	363
Ablennes hians	335
Abudefduf bengalensis	521
Abudefduf sordidus	521
Abudefduf spp.	521
Abudefduf vaigiensis	521
Acanthaphritis barbata	536
Acanthephyra eximia	50
Acanthephyra fimbriata	27
Acanthocepola abbreviata	515
Acanthocepola indica	515
Acanthocybium solandri	263, 569
Acanthopagrus berda	473
Acanthurus	261
Acanthurus dussumieri	558
Acanthurus leucosternon	558
Acanthurus lineatus	558
Acanthurus mata	559
Acanthurus nigricauda	559
Acanthurus pyroferus	559, 560
Acanthurus tennentii	560
Acanthurus thompsoni	560
Acanthurus tristis	560
Acanthurus xanthopterus	561
Acentrogobius cyanomos	546
Acentrogobius sp.	547
Acetes indicus	49
Acetes japonicus	49
Acetes spp.	6, 23
Acreichthys tomentosus	610
Acropoma	243
Acropoma argentistigma	380
Acropoma lacrima	380
Acropoma splendens	380
Acropora	512
Actinopyga echinites	149
Actinopyga lecanora	149
Aesopia cornuta	595
Aethaloperca rogaa	381
Aetobatus flagellum	213
Aetobatus ocellatus	213
Aetomylaeus maculatus	212
Aetomylaeus nichofii	212
Aetomylaeus spp.	212
Aetomylaeus vespertilio	212
Albula oligolepis	270
Aldrovandia	222
Alectis	248
Alectis ciliaris	415
Alectis indica	416
Alepes djedaba	416
Alepes kleini	416
Alepes melanoptera	417
Alepocephalus	227
Allenbatrachus grunniens	328
Allenbatrachus reticulatus	328
Alopias pelagicus	164
Alopias superciliosus	164
Aluterus	268
Aluterus monoceros	610
Aluterus scriptus	610
Amanses scopas	611
Ambassis cf. nalua	243
Amblygaster leiogaster	288
Amblygaster sirm	288
Amblyotrypauchen arctocephalus	547
Ammodytoides cf. xanthops	533
Ammodytoides xanthops	8
Amphioctopus aegina	137, 138
Amphioctopus marginatus	137
Amphioctopus neglectus	138, 139
Amphioctopus rex	138, 139
Amphioctopus siamensis	139
Anacanthus	268
Anacanthus barbatus	611
Anampses caeruleopunctatus	522
Ancistrocheirus lesueurii	131
Anguilla bengalensis	287
Anguilla bengalensis bengalensis	287
Anguilla bengalensis labiata	287
Anguilla bicolor	287
Anguilla bicolor bicolor	287
Anguilla bicolor pacifica	287
Anodontostoma chacunda	288, 289
Anodontostoma thailandiae	289
Anoplogaster cornuta	236
Anoxypristis cuspidata	193
Antennarius hispidus	330
Antennatus nummifer	330
Antigonia	265
Antigonia indica	581
Antigonia ovalis	581
Antigonia sp.	582
Antigonia undulata	582
Anyperodon leucogrammicus	382
Aphareus furca	444
Aphareus rutilans	444
Apistus carinatus	362
Apogonichthyoides cf. maculipinnis	559
Apogonichthyoides enigmaticus	559
Apogonichthyoides miniatus	8, 246
Apogonichthyoides nigripinnis	404
Apogonichthyoides sialis	404
Apogon hyalosoma	8
Apogon sp.	404
Apolemichthys xanthurus	513
Aprion virescens	445
Apristurus investigatoris	167, 168
Apristurus macrostomus	168
Argonauta argo	141
Argonauta hians	142
Argyropelecus aculeatus	228
